Certification_ID,Certification_Name,Issuing_Body,Region,Source_URL
CERT_1,Vegan,Vegan Society,Global,
CERT_2,Cruelty-Free,Leaping Bunny,Global,
CERT_3,ADA Accepted,ADA,USA,
