Ingredient_ID,Canonical_Name,Active
I_c9f31ad9,Stannous Fluoride,Yes
I_a0d4a21f,Sodium Fluoride,Yes
I_b58cf1a5,Amine Fluoride,Yes
I_a2cb1099,Amine/Sodium Fluoride,Yes
I_1e5c54ba,Amine/Stannous Fluoride,Yes
